20150202,00:00:01,stb1,0.00,0.00,stb2,0.33,0.21,stb3,0.34,0.21,stb4,0.00,0.00,stb5,0.10,0.10,stb6,0.10,0.10 
20150202,00:00:08,stb1,0.00,0.00,stb2,0.33,0.21,stb3,0.24,0.11,stb4,0.33,0.21,stb5,0.10,0.10,stb6,0.33,0.21 
20150202,00:00:15,stb1,0.33,0.21,stb2,0.00,0.00,stb3,0.10,0.10,stb4,0.33,0.21,stb5,0.10,0.10,stb6,0.33,0.21 
20150202,00:00:21,stb1,0.33,0.21,stb2,0.33,0.21,stb3,0.33,0.21,stb4,0.34,0.21,stb5,0.66,0.42,stb6,0.24,0.11 
20150202,00:00:28,stb1,0.24,0.11,stb2,0.42,0.30,stb3,0.24,0.11,stb4,0.24,0.11,stb5,0.00,0.00,stb6,0.00,0.00 
20150202,00:00:35,stb1,0.19,0.19,stb2,0.24,0.11,stb3,0.24,0.11,stb4,0.19,0.19,stb5,0.00,0.00,stb6,0.00,0.00 
20150202,00:00:41,stb1,0.19,0.19,stb2,0.24,0.11,stb3,0.19,0.19,stb4,0.24,0.17,stb5,0.10,0.10,stb6,0.43,0.30 
20150202,00:00:48,stb1,0.24,0.11,stb2,0.10,0.10,stb3,0.10,0.10,stb4,0.24,0.11,stb5,0.10,0.10,stb6,0.33,0.21 
20150202,00:00:54,stb1,0.10,0.10,stb2,0.33,0.21,stb3,0.24,0.11,stb4,0.09,0.09,stb5,0.57,0.32,stb6,0.24,0.11 
20150202,00:01:01,stb1,0.10,0.10,stb2,0.33,0.21,stb3,0.24,0.11,stb4,0.33,0.21,stb5,0.10,0.10,stb6,0.10,0.10 
20150202,00:01:08,stb1,0.33,0.21,stb2,0.33,0.21,stb3,0.23,0.11,stb4,0.33,0.21,stb5,0.10,0.10,stb6,0.00,0.00 
20150202,00:01:14,stb1,0.34,0.21,stb2,0.33,0.21,stb3,0.10,0.10,stb4,0.10,0.10,stb5,0.00,0.00,stb6,0.10,0.10 
20150202,00:01:21,stb1,0.10,0.10,stb2,0.00,0.00,stb3,0.33,0.21,stb4,0.10,0.10,stb5,0.00,0.00,stb6,0.10,0.10 
20150202,00:01:27,stb1,0.23,0.11,stb2,0.19,0.19,stb3,0.24,0.11,stb4,0.24,0.11,stb5,0.66,0.42,stb6,0.47,0.23 
20150202,00:01:34,stb1,0.24,0.11,stb2,0.19,0.19,stb3,0.24,0.11,stb4,0.43,0.30,stb5,0.00,0.00,stb6,0.00,0.00 
